sku,nombre_producto,categoria_subcategoria,precio_lista,peso,proveedor,descripcion,stock_disponible,fecha_alta,activo
PROD-03230,Limpieza Lead 274,Hogar > Limpieza,"$ 6,098.84",12.9 kg,"Laboratorios Archuleta, Partida y Batista",Finally either wish add threat also fall include support edge left more.,17.0,2021-08-21,1
SKU-03231,Audio Development 878,Electrónica > Audio,"$ 22,295.31",4.16 kg,Vélez y Aguirre y Asociados,Rule movement key color image example time ok center example interesting.,331.0,2022-08-30,1
PROD-03232,Jardín Four 611,Hogar > Jardín,"$ 16,417.52",18.16 kg,Ochoa S.A. de C.V.,Instead bar court always like former bad write born property blood sport good.,,2019-06-03,1
SKU-03233,Accesorios Responsibility 148,Electrónica > Accesorios,"$ 8,633.25",27.06 kg,"Industrias Apodaca, Castañeda y Batista",Art push happy form against drive full again test upon audience market.,301.0,2021-07-19,0
SKU-03234,Laptops Avoid 533,Electrónica > Laptops,"$ 21,520.41",20.98 kg,Alarcón y Tapia S.A.,Item ever we machine short return hold country show spring personal real throughout since choose easy.,84.0,2021-12-27,1
sku_03235,Smartphones Past 936,Electrónica > Smartphones,"$ 10,615.88",21.75 kg,Club Echeverría-Olivo,I around gun white between member turn everyone order executive seven poor parent service.,137.0,2022-08-15,0
03236,Laptops Enter 753,Electrónica > Laptops,"$ 19,194.94",15.94 kg,"Rico, Garay y Salazar",Base professor direction meet significant term task somebody tell plan even.,,2022-11-28,1
03237,Cocina Skill 505,Hogar > Cocina,"$ 12,222.98",13.11 kg,Haro-Aragón,Should value other report sit leader response without begin teacher trip.,103.0,2023-11-16,1
sku_03238,Ropa Hombre Firm 395,Moda > Ropa Hombre,"$ 19,962.48",0.86 kg,"Grupo Linares, de la Torre y Gallardo",Travel offer figure threat off finally fund set name today doctor wife oil popular eye.,42.0,2020-03-06,1
03239,Audio Site 656,Electrónica > Audio,"$ 15,752.53",26.13 kg,Industrias Riojas y Narváez,Management adult whatever sell long program purpose local sort table like day most focus.,303.0,2020-06-24,1
SKU-03240,Calzado Eye 402,Moda > Calzado,"$ 16,700.95",24.21 kg,Verduzco y Alonzo y Asociados,Go none talk lawyer interest suggest occur fill itself.,84.0,2020-06-26,0
sku_03241,Laptops Lot 998,Electrónica > Laptops,"$ 23,441.20",5.22 kg,"Sánchez, Heredia y Corrales",Interesting wear send realize bank build couple half herself education garden price particularly.,219.0,2020-01-17,1
sku_03242,Ropa Mujer Budget 976,Moda > Ropa Mujer,"$ 24,399.86",22.9 kg,"Club Burgos, Laureano y Alemán",Itself often suddenly suggest most great sell language offer ago hear present safe defense.,499.0,2020-04-04,1
PROD-03243,Accesorios Moda Vote 621,Moda > Accesorios Moda,"$ 13,062.11",24.15 kg,Sevilla-Carbajal,Present station indeed another field everyone knowledge whole true yes even green late suggest war area.,229.0,2023-02-01,1
sku_03244,Calzado His 530,Moda > Calzado,"$ 18,967.89",28.08 kg,Industrias Aguilera-Benavídez,Recent growth while eight example policy six.,156.0,2022-12-23,1
PROD-03245,Calzado Role 994,Moda > Calzado,"$ 24,910.82",21.91 kg,"Briseño, Bétancourt y Estrada",There fly speech car hope picture make wear environment second especially from front protect list walk.,78.0,2019-01-23,1
PROD-03246,Audio Yard 469,Electrónica > Audio,$ 899.39,27.6 kg,"Laboratorios Briones, Nájera y Narváez",Decision stock ready will about toward free yourself together weight sister rate civil.,32.0,2019-02-01,1
P-03247,Smartphones Without 509,Electrónica > Smartphones,"$ 9,085.16",16.51 kg,López-Barraza,Candidate person receive central home force medical news art response ok evening voice citizen.,456.0,2020-10-10,1
P-03248,Laptops Upon 899,Electrónica > Laptops,$ 90.49,10.21 kg,"Industrias Ojeda, Batista y Cotto",Stage age important interest particular all player sing itself themselves enough common toward.,248.0,2023-09-04,1
P-03249,Accesorios Plan 801,Electrónica > Accesorios,"$ 10,462.63",13.03 kg,Nevárez-Berríos,Cultural growth argue loss store soon it difference many sit race.,64.0,2020-06-20,1
SKU-03250,Calzado Establish 323,Moda > Calzado,"$ 18,994.08",11.09 kg,Despacho González y Olivárez,Everything blood year nor ask born cover quite old.,244.0,2020-07-19,0
sku_03251,Cocina Age 506,Hogar > Cocina,"$ 8,180.81",16.68 kg,Club Matías-Espinoza,Sort gas compare already hold available interview live artist person center apply prove again.,0.0,2022-05-01,0
SKU-03252,Limpieza At 256,Hogar > Limpieza,"$ 2,233.81",9.58 kg,Despacho Casas-Villegas,Democratic sure film say adult decade side federal concern would.,263.0,2021-09-29,1
sku_03253,Infantil Painting 723,Moda > Infantil,"$ 4,079.72",10.45 kg,Corporacin Cintrón y Bétancourt,Serious everything example need bed here officer good particularly.,,2022-07-29,1
sku_03254,Jardín Buy 911,Hogar > Jardín,"$ 24,304.11",23.06 kg,Castañeda-Bahena,Population company suggest inside enjoy easy yard my network.,488.0,2023-05-12,1
03255,Laptops Place 545,Electrónica > Laptops,"$ 20,072.10",21.96 kg,"Mojica, Garibay y Quesada",Enjoy trip opportunity benefit bank certain special step.,393.0,2023-10-28,1
PROD-03256,Accesorios Moda Order 773,Moda > Accesorios Moda,"$ 19,320.65",19.74 kg,"Carrera, Navarro y Anguiano",Yeah owner his it item often child off.,431.0,2021-12-01,1
PROD-03257,Smartphones Within 166,Electrónica > Smartphones,"$ 24,091.30",7.27 kg,Delgado-Saldaña A.C.,,49.0,2024-02-27,1
PROD-03258,Televisores Fill 774,Electrónica > Televisores,"$ 22,066.35",26.19 kg,Tejada y Centeno y Asociados,Newspaper debate loss they put those expert city may his.,245.0,2020-03-22,0
SKU-03259,Laptops Matter 743,Electrónica > Laptops,"$ 24,513.39",22.2 kg,Santillán-Mares,,,2020-04-18,1
SKU-03260,Decoración Serve 257,Hogar > Decoración,"$ 10,764.11",4.55 kg,"Corporacin Aparicio, Galarza y Mayorga",Drop physical picture foot same act wonder conference large so raise bag law daughter.,361.0,2024-03-13,0
P-03261,Accesorios Moda Bad 537,Moda > Accesorios Moda,"$ 20,036.63",21.87 kg,"Grupo Preciado, Polanco y Rodarte",Citizen another success good citizen kitchen paper everyone success plant push reflect early.,479.0,2022-04-22,1
P-03262,Audio Man 373,Electrónica > Audio,"$ 14,195.57",28.38 kg,Ayala y Rodríquez y Asociados,House next leave religious operation drive member program notice.,10.0,2021-06-22,1
03263,Ropa Mujer Executive 986,Moda > Ropa Mujer,"$ 23,763.50",15.02 kg,"Negrete, de la Garza y Páez",Bad commercial money job close maintain either small himself pattern appear adult here the six others.,185.0,2022-10-11,0
SKU-03264,Decoración Tree 893,Hogar > Decoración,"$ 13,112.33",10.0 kg,Salas-Moya,Whatever herself consumer see beyond first determine program anyone adult after back time least bill attorney.,470.0,2021-06-12,1
sku_03265,Ropa Hombre Physical 532,Moda > Ropa Hombre,"$ 19,943.18",25.88 kg,Curiel-Méndez S.A. de C.V.,Economic read lead write conference hair more between per develop group.,192.0,2019-03-10,1
PROD-03266,Cocina All 918,Hogar > Cocina,"$ 1,239.11",29.27 kg,"Vásquez, Mejía y Villegas",Old have total product air box follow few.,16.0,2019-08-30,0
03267,Limpieza Individual 598,Hogar > Limpieza,"$ 18,852.04",16.47 kg,Villalpando-Naranjo,Successful west before despite arm animal recently assume professional leave note begin week.,206.0,2021-10-27,1
PROD-03268,Cocina Here 453,Hogar > Cocina,"$ 16,855.20",14.2 kg,Grupo Caraballo-Quezada,Week soon your according want relationship record young wish defense defense street loss.,60.0,2023-02-21,1
SKU-03269,Audio Property 502,Electrónica > Audio,"$ 1,966.75",21.87 kg,Salas-Batista,Base those accept produce want not including.,276.0,2020-07-08,1
03270,Jardín Ball 670,Hogar > Jardín,$ 330.84,22.42 kg,"Club León, Escobedo y Paz",Pattern citizen ten we quality end work indeed decade high establish realize international idea commercial.,300.0,2022-01-13,1
P-03271,Cocina Rate 918,Hogar > Cocina,"$ 23,945.99",21.28 kg,Madrigal y Cortés S. R.L. de C.V.,Talk wish establish game return strong stock base stop represent all skill.,64.0,2019-02-09,1
P-03272,Accesorios Floor 630,Electrónica > Accesorios,"$ 12,060.57",22.51 kg,"Tafoya, Alvarez y Rocha",Apply thus second two remain occur foreign whom thus TV phone around.,197.0,2020-05-08,1
PROD-03273,Smartphones City 822,Electrónica > Smartphones,"$ 20,816.65",18.58 kg,Cadena S.A. de C.V.,Image sister sometimes reflect ever until series you parent individual suggest either maybe through.,315.0,2019-08-03,1
sku_03274,Audio However 374,Electrónica > Audio,"$ 14,674.29",2.71 kg,"Segura, Camacho y del Valle",First glass study college finally ten serious hit theory.,391.0,2024-01-23,1
sku_03275,Jardín Recognize 412,Hogar > Jardín,"$ 9,586.78",7.45 kg,Club Aponte-Saldivar,Increase body rock man table they school city since body break no still best.,175.0,2019-12-27,1
P-03276,Decoración Around 278,Hogar > Decoración,"$ 1,834.31",6.8 kg,Elizondo y Verduzco S. R.L. de C.V.,,485.0,2020-01-23,0
SKU-03277,Smartphones Home 135,Electrónica > Smartphones,"$ 21,375.05",25.14 kg,Escalante-de la Rosa A.C.,Again away material size form treat among color man nature sure for another establish face.,161.0,2019-04-21,1
SKU-03278,Laptops Week 509,Electrónica > Laptops,"$ 21,429.91",10.43 kg,Figueroa y Sandoval e Hijos,Town everything case win end certain identify social affect much record.,238.0,2024-05-12,1
SKU-03279,Limpieza Thus 956,Hogar > Limpieza,"$ 18,015.36",9.72 kg,Proyectos Guardado-Longoria,Ask standard dinner protect price woman think.,379.0,2021-04-24,1
PROD-03280,Infantil Item 526,Moda > Infantil,"$ 8,014.19",28.99 kg,Grupo Cornejo y Monroy,,435.0,2020-03-20,1
sku_03281,Audio Mrs 266,Electrónica > Audio,"$ 18,074.35",26.64 kg,Gurule y Leal S.C.,There water know fall effort in nor measure far them until.,388.0,2024-03-12,1
P-03282,Laptops Light 136,Electrónica > Laptops,"$ 22,629.71",2.99 kg,Proyectos Miramontes y Beltrán,Process bad president analysis movement top detail growth line public difficult security.,243.0,2024-03-12,1
PROD-03283,Infantil Stop 789,Moda > Infantil,"$ 23,462.03",15.22 kg,Valdivia y Aguayo e Hijos,Hot say raise fine building learn base also someone it bag story lead serious.,114.0,2019-02-26,0
SKU-03284,Infantil Bring 285,Moda > Infantil,"$ 1,725.82",4.56 kg,Despacho Trujillo-Núñez,Thing accept large list economy medical wind guy join morning into low sometimes item maintain.,116.0,2023-02-12,1
sku_03285,Muebles Rise 248,Hogar > Muebles,"$ 16,548.81",12.4 kg,Otero S. R.L. de C.V.,Page city still network discussion only bring day.,190.0,2022-11-13,1
PROD-03286,Muebles Prove 518,Hogar > Muebles,"$ 23,078.81",14.14 kg,Mendoza y de la Crúz S.A.,Somebody book citizen weight seat performance movement cultural west less win size approach model office color.,79.0,2023-01-15,1
SKU-03287,Accesorios Moda Speech 220,Moda > Accesorios Moda,"$ 24,499.76",8.38 kg,Laboratorios Adame-Rosales,Generation once environment expert let there hospital.,66.0,2021-12-25,0
sku_03288,Jardín Simple 478,Hogar > Jardín,"$ 23,684.37",6.0 kg,"Navarro, Barrientos y Rodríquez",Writer much bed provide close sense something article democratic benefit address nice although group statement.,373.0,2022-09-15,0
03289,Accesorios Moda American 377,Moda > Accesorios Moda,"$ 9,679.46",14.81 kg,Laboratorios Torres-Casanova,Sure themselves collection another president responsibility leader difficult.,406.0,2020-03-04,1
03290,Ropa Hombre Hot 103,Moda > Ropa Hombre,"$ 14,395.91",5.33 kg,Villa-Becerra y Asociados,People those performance fish hot together send itself including work image source.,299.0,2021-10-22,1
sku_03291,Televisores Hand 562,Electrónica > Televisores,$ 277.29,4.43 kg,Becerra y Rubio S.A. de C.V.,Teacher type second history would car growth wonder heart major unit speak peace concern their.,204.0,2019-03-06,1
sku_03292,Accesorios Moda Here 131,Moda > Accesorios Moda,"$ 6,442.82",19.23 kg,Proyectos Escalante-Zamudio,Source yes trial hit environmental partner next.,75.0,2022-06-04,0
PROD-03293,Calzado Word 390,Moda > Calzado,"$ 19,181.02",27.87 kg,Zedillo-Colón e Hijos,Standard state town television marriage best style trip player explain bring argue anything above.,321.0,2021-08-18,1
P-03294,Accesorios Moda Improve 622,Moda > Accesorios Moda,"$ 14,432.08",19.58 kg,"Rosario, Riojas y Saiz",,278.0,2024-01-27,1
sku_03295,Decoración Future 278,Hogar > Decoración,"$ 21,245.21",26.59 kg,Abreu S. R.L. de C.V.,Fall expert whether while surface sense so discuss agree accept issue different speech student research.,182.0,2024-05-01,1
03296,Decoración Ability 336,Hogar > Decoración,"$ 17,913.87",6.64 kg,Ávila-Preciado,Participant system pick thought himself north support each health someone expect level particular anything store.,71.0,2019-02-13,1
P-03297,Decoración Forward 119,Hogar > Decoración,$ 839.65,17.41 kg,Proyectos Cotto-Armenta,Start around like call pressure officer civil lay enjoy box could rate should fly piece.,133.0,2021-05-21,1
SKU-03298,Accesorios Apply 492,Electrónica > Accesorios,"$ 13,187.79",20.95 kg,"Grupo Pedroza, Quesada y Camacho",Time nation week trouble foreign lot total meet a.,180.0,2020-09-02,0
03299,Infantil Fear 573,Moda > Infantil,"$ 13,119.02",29.26 kg,"Olivares, Colón y Peralta",Machine agency civil clearly for able clearly fire contain.,479.0,2021-12-25,1
03300,Decoración Hospital 890,Hogar > Decoración,"$ 999,999.00",15.95 kg,"Zaragoza, Samaniego y Marroquín",While guess floor have argue country church life begin.,343.0,2021-10-09,1
SKU-03301,Televisores Left 534,Electrónica > Televisores,"$ 11,891.53",15.29 kg,Club Córdova y Casanova,,,2021-07-30,1
sku_03302,Televisores On 295,Electrónica > Televisores,"$ 14,219.89",25.58 kg,Rendón y Rascón S.A. de C.V.,Listen set simple add guess decade tend second build most environment message grow begin face.,,2020-04-22,1
sku_03303,Jardín Care 477,Hogar > Jardín,"$ 19,501.28",12.05 kg,"Proyectos Molina, Jiménez y Sevilla",Whose view about election understand within same.,374.0,2021-10-12,1
P-03304,Laptops Hour 796,Electrónica > Laptops,"$ 16,832.62",20.65 kg,Rubio-Pérez,Former oil trial defense soon child imagine person.,14.0,2021-09-12,1
PROD-03305,Ropa Hombre Still 168,Moda > Ropa Hombre,"$ 9,050.91",0.58 kg,"Orozco, Medina y Mejía",No throw on large memory study data note character hard surface owner.,387.0,2022-07-16,1
sku_03306,Ropa Hombre How 898,Moda > Ropa Hombre,"$ 2,753.37",8.72 kg,Avilés y Brito e Hijos,Happen cup specific keep chance stop summer.,66.0,2019-08-13,1
P-03307,Televisores Democrat 783,Electrónica > Televisores,"$ 8,893.35",20.19 kg,Grupo Reynoso-Guerra,Day suddenly past carry fine write attorney develop involve official thank issue debate into.,96.0,2023-01-15,1
P-03308,Limpieza Resource 592,Hogar > Limpieza,"$ 1,697.51",28.49 kg,"Laboratorios González, Abreu y Navarro",Base fill school fire why window evidence weight necessary bring.,229.0,2023-03-23,1
sku_03309,Accesorios Moda Almost 604,Moda > Accesorios Moda,"$ 18,193.65",6.04 kg,"Maestas, Trejo y Olmos",On yeah trouble high discussion president without move pay often theory sit dream purpose another.,59.0,2023-04-14,1
sku_03310,Ropa Hombre Decide 111,Moda > Ropa Hombre,"$ 17,259.27",29.9 kg,Club Marrero y Angulo,Example special decision spend reality modern serve.,454.0,2022-07-18,1
03311,Audio Body 669,Electrónica > Audio,"$ 7,940.96",23.4 kg,"Industrias Munguía, Bétancourt y Cabán",Hit shoulder food particular research child administration accept sing early strong true up investment field.,318.0,2020-10-04,1
P-03312,Ropa Mujer Amount 241,Moda > Ropa Mujer,"$ 11,171.93",10.22 kg,Zúñiga A.C.,Present home scene less live media industry interview including ahead day yet cover around.,,2023-10-25,1
03313,Televisores One 859,Electrónica > Televisores,"$ 14,124.71",9.77 kg,"Lara, Griego y Roque",Wish chair couple take nor ahead participant year my far matter piece level between realize.,309.0,2019-02-11,1
SKU-03314,Televisores Individual 412,Electrónica > Televisores,"$ 10,632.21",17.84 kg,Proyectos Feliciano-Sáenz,Bit nor produce then prevent top style identify month.,329.0,2021-04-07,1
PROD-03315,Cocina Rich 452,Hogar > Cocina,"$ 2,429.47",25.95 kg,Granado-Montenegro e Hijos,Measure practice these name off action her this human.,231.0,2021-05-25,0
P-03316,Calzado Structure 843,Moda > Calzado,"$ 19,133.52",23.79 kg,Peña-Peña,Race model themselves city onto find tend hard name entire follow up institution simply.,38.0,2022-05-02,1
sku_03317,Decoración Research 200,Hogar > Decoración,"$ 18,448.28",8.87 kg,Gallegos y Villareal S.C.,,202.0,2022-03-04,1
sku_03318,Decoración Listen 384,Hogar > Decoración,"$ 10,710.24",2.87 kg,"Despacho Hurtado, Duarte y Vega",Care piece beyond particularly skill year kitchen describe among artist deep next above national sure those.,332.0,2024-02-22,1
sku_03319,Cocina Evening 220,Hogar > Cocina,"$ 21,957.10",0.14 kg,Laboratorios Vaca y Prado,Traditional worry necessary and star watch today move court indicate somebody.,242.0,2019-12-20,1
P-03320,Accesorios Notice 361,Electrónica > Accesorios,$ 209.35,29.62 kg,Jasso-Apodaca e Hijos,Truth leader save career art beyond audience yet reach institution institution road.,178.0,2019-10-31,1
03321,Ropa Mujer Finish 662,Moda > Ropa Mujer,"$ 19,088.87",14.1 kg,"Laboratorios Rodrígez, Pineda y Murillo",Floor policy this live raise development agency material.,60.0,2021-05-17,1
PROD-03322,Muebles Only 872,Hogar > Muebles,"$ 22,463.79",5.84 kg,Arredondo-Bernal,Success deep model two politics free two.,95.0,2021-04-26,1
P-03323,Laptops Effect 231,Electrónica > Laptops,"$ 13,660.03",0.96 kg,Club Samaniego y Guerrero,Blood industry theory moment market expert time four west main wear better place.,233.0,2022-01-01,1
SKU-03324,Calzado Less 882,Moda > Calzado,"$ 23,562.31",16.87 kg,Laboratorios Girón y Laureano,Research exist cold wife subject protect hold case lose own.,424.0,2020-06-17,1
03325,Televisores Seven 680,Electrónica > Televisores,"$ 24,945.54",27.14 kg,Gastélum-Vaca,East strong market name last reveal although power pattern impact care.,230.0,2020-04-04,1
SKU-03326,Laptops News 719,Electrónica > Laptops,"$ 10,544.22",6.97 kg,Moya-Rivero,Station TV key ever trip education add boy kind family wife.,154.0,2022-04-03,1
sku_03327,Infantil Chair 473,Moda > Infantil,"$ 24,062.13",8.64 kg,Merino A.C.,Outside recently memory first into piece firm gas.,441.0,2023-10-02,0
PROD-03328,Limpieza Too 803,Hogar > Limpieza,"$ 1,815.27",28.62 kg,"Hernádez, Orellana y Gastélum",Change free small I company condition parent yes class work information.,33.0,2019-10-26,1
PROD-03329,Accesorios Moda Power 616,Moda > Accesorios Moda,"$ 16,672.53",4.84 kg,Montes-Lemus,Analysis program between writer employee direction clear response until news provide.,56.0,2024-05-05,1
PROD-03330,Decoración Never 132,Hogar > Decoración,"$ 6,195.95",16.9 kg,"Grupo Morales, Cervántez y Cepeda",Writer pattern sound strong project paper hope choice positive education.,415.0,2020-08-06,1
P-03331,Televisores Range 974,Electrónica > Televisores,"$ 19,349.35",23.66 kg,Arredondo-Domínguez S.A.,,204.0,2020-08-27,0
PROD-03332,Audio More 587,Electrónica > Audio,"$ 4,490.86",10.92 kg,"Gaytán, Anguiano y Batista",,107.0,2019-02-21,1
03333,Audio Sister 238,Electrónica > Audio,"$ 8,508.38",16.05 kg,Cardenas-Venegas,Cost include issue beautiful dinner husband market political appear trial customer prepare bad.,268.0,2023-06-13,1
sku_03334,Ropa Hombre Focus 706,Moda > Ropa Hombre,"$ 17,260.42",1.46 kg,Industrias Montez-Puga,Claim certainly discussion hand positive all role chance into technology talk PM already son away painting.,64.0,2021-12-28,0
03335,Televisores Although 204,Electrónica > Televisores,"$ 22,913.19",22.93 kg,Rubio-Leal A.C.,Trade base another blood hot strong or follow fund financial result although benefit those thank.,34.0,2019-09-28,1
SKU-03336,Accesorios Moda Too 189,Moda > Accesorios Moda,"$ 1,050.71",0.26 kg,"Club Arce, Suárez y Solorio",Candidate same make fear service real source above position Congress research future push.,197.0,2022-10-08,1
PROD-03337,Ropa Mujer Own 323,Moda > Ropa Mujer,"$ 21,146.09",3.63 kg,"Corral, Godínez y Cervántez",Value leader us culture material when citizen in however start too now black see.,,2021-02-17,1
sku_03338,Ropa Hombre Artist 903,Moda > Ropa Hombre,"$ 2,228.01",17.24 kg,Proyectos Razo y Gómez,Mother property seem assume brother manager degree tree a chair almost against especially challenge learn inside.,56.0,2020-10-12,0
03339,Cocina Story 182,Hogar > Cocina,"$ 9,170.93",21.44 kg,"Saavedra, Pedraza y Quintana",,147.0,2021-08-24,1
P-03340,Jardín Even 647,Hogar > Jardín,"$ 3,003.71",8.09 kg,"Ojeda, Gallardo y Godoy",Financial offer fill provide full truth purpose trip article floor.,159.0,2020-04-20,1
PROD-03341,Laptops Data 978,Electrónica > Laptops,"$ 10,374.28",17.4 kg,"Pulido, Ramos y Bétancourt",Material make sure bag you address meet red theory court stuff.,171.0,2019-10-17,1
sku_03342,Accesorios Weight 568,Electrónica > Accesorios,"$ 18,335.07",12.17 kg,Regalado-Quintero,Mr material grow police night type nor school arrive rich pull think clear smile morning.,422.0,2023-10-18,1
P-03343,Accesorios Moda Still 495,Moda > Accesorios Moda,"$ 14,080.71",16.91 kg,Despacho Arredondo y Cardenas,Several anyone television human walk rock after probably phone.,417.0,2022-08-04,0
03344,Laptops Center 188,Electrónica > Laptops,"$ 10,556.49",20.2 kg,Industrias Quezada y Armas,Where leader evidence poor expert direction response certainly reduce generation lead investment try material poor executive.,255.0,2021-04-13,1
P-03345,Cocina Second 461,Hogar > Cocina,$ 191.18,9.29 kg,Club Jaime-Luna,Far task line lawyer energy PM hotel.,234.0,2021-06-02,1
sku_03346,Jardín Eye 288,Hogar > Jardín,"$ 7,308.27",22.18 kg,Club Garay y Leiva,Lose skin smile south decision similar bill somebody improve physical society that against others kind factor.,262.0,2024-01-16,1
P-03347,Decoración Consumer 180,Hogar > Decoración,"$ 13,954.58",4.58 kg,Nava-Meza S. R.L. de C.V.,Meet often easy here employee building me interest media whether like simple whose term conference middle.,160.0,2020-05-15,0
SKU-03348,Cocina Away 145,Hogar > Cocina,"$ 6,142.37",12.36 kg,"Iglesias, Tamayo y Trujillo",Garden hair nor nothing gun support more.,,2023-08-04,1
sku_03349,Televisores Every 723,Electrónica > Televisores,"$ 15,717.43",12.27 kg,Armendáriz-Portillo,Enough write throughout go bring challenge side expert try every.,235.0,2019-09-12,1
PROD-03350,Accesorios Sense 982,Electrónica > Accesorios,"$ 12,964.03",9.99 kg,"Grupo Jaimes, Ortiz y Zedillo",Reality method after table describe vote dream forget possible draw usually music situation trouble.,456.0,2023-08-21,1
03351,Televisores Tough 884,Electrónica > Televisores,"$ 1,128.41",10.3 kg,Grupo Gómez y Rodríquez,People score decide real strategy choose clear PM some consumer final charge.,90.0,2020-02-26,1
03352,Accesorios Receive 733,Electrónica > Accesorios,"$ 8,678.30",17.35 kg,Meza y Hernandes S.A. de C.V.,,,2021-03-22,0
P-03353,Calzado Much 749,Moda > Calzado,,17.22 kg,Despacho Mendoza y Pedraza,Floor energy many network on short player lay.,380.0,2021-06-01,1
PROD-03354,Accesorios Moda Method 684,Moda > Accesorios Moda,"$ 20,436.62",3.48 kg,Paredes-Miramontes S.A.,Have agreement agent he population after I candidate.,194.0,2019-11-05,1
SKU-03355,Accesorios Moda Relate 728,Moda > Accesorios Moda,"$ 2,293.54",1.35 kg,Club Mena-Villegas,,14.0,2020-06-25,1
03356,Ropa Hombre Director 224,Moda > Ropa Hombre,"$ 3,292.39",12.0 kg,Laboratorios Partida-Abreu,Kitchen conference effort prevent several write candidate friend check.,77.0,2022-10-18,1
SKU-03357,Accesorios Moda Specific 724,Moda > Accesorios Moda,"$ 12,867.70",2.06 kg,Rodríguez S.C.,Paper apply school always message your score political kid under material professional clear wife.,27.0,2023-06-12,1
SKU-03358,Limpieza Cut 166,Hogar > Limpieza,"$ 7,770.98",16.82 kg,Solís S.C.,Open itself strong home south specific feel everyone blue quickly only purpose word trial laugh responsibility.,264.0,2021-06-18,1
03359,Accesorios Moda Outside 139,Moda > Accesorios Moda,"$ 9,648.20",27.94 kg,Solano S. R.L. de C.V.,Month hundred chair painting beyond sort goal firm rich.,196.0,2023-02-06,1
SKU-03360,Accesorios Former 215,Electrónica > Accesorios,"$ 1,063.47",20.73 kg,"Aguilera, Fajardo y Loya",Loss exist system myself scientist management better poor same.,471.0,2022-05-18,1
P-03361,Televisores Data 652,Electrónica > Televisores,"$ 7,244.26",25.69 kg,Llamas-Arreola S. R.L. de C.V.,Audience positive off similar author professor political stage forget him.,145.0,2022-02-21,1
SKU-03362,Calzado Attack 776,Moda > Calzado,"$ 7,764.42",7.78 kg,"Montez, Botello y Cordero",Story see teacher here piece central sort soon skill commercial more film particularly none thousand start.,473.0,2021-03-14,1
sku_03363,Jardín Religious 946,Hogar > Jardín,"$ 1,938.57",4.11 kg,Arredondo-Ocampo y Asociados,Argue above building by for mention prepare themselves size cover pass able too thought.,118.0,2019-08-13,1
PROD-03364,Televisores They 433,Electrónica > Televisores,,16.8 kg,Proyectos Aguilera-Alcántar,Worry decade room life offer stock cold that western expert successful his cost.,256.0,2019-09-25,0
PROD-03365,Muebles Indicate 946,Hogar > Muebles,$ 330.43,2.04 kg,"Proyectos Soliz, Castro y Frías",Put little create baby think clear employee soldier much care prevent know land cover best.,52.0,2024-01-01,1
SKU-03366,Ropa Hombre Traditional 437,Moda > Ropa Hombre,"$ 23,481.32",2.78 kg,"Club Ibarra, Bernal y de Jesús",Economy participant speak son order north process firm question will service.,492.0,2021-05-25,1
P-03367,Audio Reach 186,Electrónica > Audio,"$ 8,851.75",0.31 kg,Corporacin Reyes-Tapia,Compare enjoy dark everyone whole way respond center manage wait avoid great table.,273.0,2019-04-28,1
PROD-03368,Muebles Drop 187,Hogar > Muebles,"$ 11,128.41",2.27 kg,Laboratorios Carbajal y Pantoja,Month accept know fly body must glass position budget air course president its.,157.0,2022-09-02,1
sku_03369,Calzado Case 381,Moda > Calzado,"$ 2,243.66",7.36 kg,Ávalos y Muñoz y Asociados,,434.0,2020-12-10,1
P-03370,Ropa Mujer After 499,Moda > Ropa Mujer,"$ 10,541.14",29.86 kg,Proyectos Samaniego y Arteaga,Great black everyone score increase week baby impact I learn heavy act begin four.,191.0,2019-02-12,1
P-03371,Muebles Sense 478,Hogar > Muebles,"$ 22,618.47",20.42 kg,Botello-Peralta,,392.0,2020-08-30,0
PROD-03372,Calzado Expect 223,Moda > Calzado,"$ 18,846.13",9.52 kg,Proyectos Gallardo-Córdova,Evening ability ball would hot head law reason left information.,354.0,2019-02-28,1
P-03373,Laptops Quality 401,Electrónica > Laptops,"$ 6,238.63",20.05 kg,Barraza y Santillán e Hijos,Guy leader court cause poor look feeling share front item foot again sell.,268.0,2019-08-24,0
sku_03374,Audio She 930,Electrónica > Audio,"$ 11,659.07",26.21 kg,Guajardo-Godoy A.C.,,104.0,2021-01-21,1
SKU-03375,Jardín Civil 202,Hogar > Jardín,$ 746.65,8.65 kg,Club Acuña y de la Fuente,,,2021-03-26,1
P-03376,Infantil Effort 493,Moda > Infantil,"$ 18,476.75",6.8 kg,Rocha-Garza A.C.,Approach situation through international reflect bring reflect PM tell study.,293.0,2022-10-01,1
P-03377,Audio Third 273,Electrónica > Audio,"$ 23,364.23",5.24 kg,Corporacin Cantú y Armenta,Week free sure today detail structure actually data themselves fast myself a.,206.0,2024-03-07,1
sku_03378,Ropa Hombre Military 699,Moda > Ropa Hombre,"$ 15,568.56",19.6 kg,"Samaniego, Blanco y Sevilla",,267.0,2023-11-09,1
03379,Infantil Security 818,Moda > Infantil,"$ 11,439.56",23.35 kg,Despacho Pantoja y Covarrubias,,95.0,2024-02-20,1
PROD-03380,Accesorios Moda News 361,Moda > Accesorios Moda,"$ 8,028.36",10.58 kg,"Proyectos Arce, Terán y Arredondo",Play strategy chance dark various sort help goal.,308.0,2020-10-30,0
